name,category,desc,qty,price,cost,Status,shop name,Creator,Actions,Created,,
phillips bulb,bulbs,100 watts,8,120,80,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Thread tapes,tapes,s,13,30,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
converter bulb holders,bulb holders,s,30,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
KMBG main switch 60/80 amps,switch,t,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
LED torch,torch,t,100,1000,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Round covers (big black),covers,t,5,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
25mm2 normal bend,couplers,t,10,30,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
20mm2 couplers,couplers,t,1,5,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
32mm2 couplers,couplers,t,2,15,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
32mm2 normal bend,couplers,t,5,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
25mm2 couplers,couplers,t,2,10,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
single box,box,s,1,30,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
single box,box,s,1,30,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Twin box,box,s,1,50,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
universal single (LNB),Universal,s,1,2000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
600 *600m panels,panels,s,197,1500,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
600 *600m panels,panels,s,2,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
9*9 toilet fan,fan,t,8,6000,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
10.0mm2 flex cable 4core,cables,t,51,1470,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
6.0mm2 flex cable 3core,cables,t,61,630,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
